Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Fred Saunders,26,NOJ,SF,30,,13.3,2.3,4.8,.483,2.3,4.8,.483,.483,0.4,0.6,.632,0.9,1.6,2.5,1.2,0.5,0.3,0.7,2.4,5.0,
Al Eberhard,25,DET,SF,37,,15.6,1.9,4.3,.444,1.9,4.3,.444,.444,1.1,1.6,.672,1.0,1.8,2.8,0.7,0.4,0.1,0.6,1.7,4.9,
Freddie Boyd,27,NOJ,SG,21,,17.3,2.1,5.2,.400,2.1,5.2,.400,.400,0.7,1.0,.636,0.1,0.8,0.9,2.3,0.4,0.1,1.0,1.1,4.9,
Greg Ballard,23,WSB,SF,76,,12.3,1.9,4.4,.425,1.9,4.4,.425,.425,1.2,1.5,.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9,
Dick Snyder,33,CLE,SG,58,,11.4,1.9,4.3,.444,1.9,4.3,.444,.444,1.0,1.1,.875,0.2,0.7,0.8,1.0,0.4,0.3,0.8,1.3,4.8,
Lloyd Walton,24,MIL,PG,76,,16.6,2.0,4.5,.448,2.0,4.5,.448,.448,0.7,1.1,.651,0.3,0.7,1.0,3.3,1.0,0.2,1.4,1.2,4.8,
Glen Gondrezick,22,NYK,SF,72,,14.1,1.8,4.7,.386,1.8,4.7,.386,.386,1.2,1.7,.686,1.3,2.2,3.5,1.2,0.8,0.3,1.1,2.5,4.8,
John Kuester,22,KCK,PG,78,,15.6,1.9,4.1,.455,1.9,4.1,.455,.455,1.1,1.3,.829,0.2,1.2,1.5,3.2,0.7,0.0,1.2,1.8,4.8,
Mike Bratz,22,PHO,PG,80,,11.7,2.0,4.9,.403,2.0,4.9,.403,.403,0.7,0.9,.824,0.5,0.9,1.4,1.5,0.5,0.1,1.1,1.3,4.7,
Wesley Cox,23,GSW,SF,43,,10.5,1.6,4.0,.399,1.6,4.0,.399,.399,1.3,2.3,.580,1.0,2.3,3.3,0.3,0.5,0.2,0.8,1.9,4.6,
Ben Poquette,22,DET,PF,52,,12.0,1.8,4.3,.422,1.8,4.3,.422,.422,0.8,1.2,.700,1.0,1.8,2.8,0.4,0.2,0.4,0.8,1.3,4.5,
Rickey Green,23,GSW,PG,76,,14.4,1.9,4.9,.381,1.9,4.9,.381,.381,0.7,1.2,.600,0.6,0.9,1.5,2.0,0.8,0.0,1.0,1.3,4.5,
Ricky Marsh,23,GSW,SG,60,,14.2,2.1,4.8,.426,2.1,4.8,.426,.426,0.4,0.6,.697,0.3,1.0,1.3,1.5,0.5,0.3,0.8,1.9,4.5,
Phil Walker,21,WSB,SG,40,,9.6,1.4,4.0,.354,1.4,4.0,.354,.354,1.6,2.4,.667,0.5,0.8,1.3,1.4,0.4,0.1,1.6,1.0,4.5,
Ed Ratleff,27,HOU,SF,68,,17.1,1.9,4.6,.419,1.9,4.6,.419,.419,0.6,0.7,.830,0.8,1.6,2.4,2.3,0.9,0.3,1.0,1.6,4.4,
Jan van Breda Kolff,26,NJN,SF,68,,20.9,1.6,4.3,.366,1.6,4.3,.366,.366,1.3,1.8,.707,1.0,2.6,3.6,1.5,0.8,0.7,1.1,2.8,4.4,
Mo Layton,29,SAS,PG,41,,12.1,2.1,4.1,.506,2.1,4.1,.506,.506,0.3,0.3,.923,0.1,0.7,0.8,2.6,0.5,0.1,1.4,1.2,4.4,
Tate Armstrong,22,CHI,SG,66,,10.8,2.0,4.2,.468,2.0,4.2,.468,.468,0.3,0.4,.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3,
Steve Sheppard,23,CHI,SF,64,,10.9,1.9,4.1,.454,1.9,4.1,.454,.454,0.6,0.9,.661,1.0,1.0,2.0,0.7,0.2,0.0,0.7,1.1,4.3,
Bo Ellis,23,DEN,PF,78,,15.6,1.7,4.1,.416,1.7,4.1,.416,.416,0.9,1.3,.692,1.5,2.4,3.9,0.9,0.6,0.6,1.3,2.7,4.3,
Mike Flynn,24,IND,PG,71,,13.5,1.7,3.8,.449,1.7,3.8,.449,.449,0.8,1.4,.567,0.7,1.0,1.6,2.0,0.6,0.1,1.1,0.7,4.2,
Johnny Neumann,26,IND,SG,20,,10.8,1.8,4.3,.407,1.8,4.3,.407,.407,0.7,0.9,.722,0.3,0.5,0.7,1.4,0.3,0.1,1.1,1.2,4.2,
Gary Brokaw,24,BUF,SG,13,,10.0,1.4,3.3,.419,1.4,3.3,.419,.419,1.4,1.8,.750,0.2,0.7,0.9,1.5,0.2,0.4,0.9,0.8,4.2,
Bayard Forrest,23,PHO,C,64,,13.9,1.7,3.7,.466,1.7,3.7,.466,.466,0.8,1.6,.476,1.3,2.6,3.9,2.0,0.4,0.5,1.3,1.6,4.2,
John Lambert,25,CLE,PF,76,,14.1,1.9,4.4,.423,1.9,4.4,.423,.423,0.4,0.6,.563,1.6,2.6,4.3,0.5,0.4,0.7,0.8,2.2,4.1,
Mike Dunleavy,23,2TM,PG,15,,7.9,1.3,3.3,.400,1.3,3.3,.400,.400,0.9,1.2,.722,0.1,0.6,0.7,1.9,0.6,0.1,0.8,0.8,3.5,
Mike Dunleavy,23,PHI,PG,4,,4.3,0.8,1.8,.429,0.8,1.8,.429,.429,0.5,0.5,1.000,0.0,0.3,0.3,1.5,0.3,0.0,0.8,0.0,2.0,
Mike Dunleavy,23,HOU,PG,11,,9.3,1.5,3.9,.395,1.5,3.9,.395,.395,1.0,1.5,.688,0.1,0.7,0.8,2.0,0.7,0.1,0.8,1.1,4.1,
Zaid Abdul-Aziz,31,2TM,C,16,,9.9,1.4,3.8,.383,1.4,3.8,.383,.383,1.1,1.4,.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9,
Zaid Abdul-Aziz,31,BOS,C,2,,12.0,1.5,6.5,.231,1.5,6.5,.231,.231,1.0,1.5,.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0,
Zaid Abdul-Aziz,31,HOU,PF,14,,9.6,1.4,3.4,.426,1.4,3.4,.426,.426,1.1,1.4,.750,0.9,1.6,2.5,0.5,0.1,0.1,0.8,1.8,3.9,
Tom LaGarde,22,DEN,C,77,,11.3,1.2,3.1,.405,1.2,3.1,.405,.405,1.5,1.9,.760,1.0,1.8,2.8,0.6,0.2,0.2,1.3,1.9,4.0,
C.J. Kupec,25,HOU,SF,49,,12.8,1.7,4.0,.426,1.7,4.0,.426,.426,0.6,0.7,.818,0.6,1.3,1.9,1.0,0.2,0.1,0.5,1.1,4.0,
Joe Hassett,22,SEA,SG,48,,8.4,1.9,4.3,.444,1.9,4.3,.444,.444,0.2,0.3,.833,0.3,0.5,0.8,0.9,0.4,0.0,0.7,0.9,4.0,
Greg Griffin,25,PHO,SF,36,,11.7,1.7,4.7,.361,1.7,4.7,.361,.361,0.6,1.0,.639,1.2,1.6,2.9,0.7,0.4,0.0,1.1,1.6,4.0,
Ernie DiGregorio,27,2TM,PG,52,,11.7,1.7,4.0,.421,1.7,4.0,.421,.421,0.5,0.6,.848,0.1,0.8,1.0,2.6,0.3,0.0,1.8,0.8,3.9,
Ernie DiGregorio,27,LAL,PG,25,,13.3,1.6,4.0,.410,1.6,4.0,.410,.410,0.6,0.8,.800,0.2,0.7,0.9,2.8,0.2,0.0,1.8,0.9,3.9,
Ernie DiGregorio,27,BOS,PG,27,,10.1,1.7,4.0,.431,1.7,4.0,.431,.431,0.4,0.5,.923,0.1,0.9,1.0,2.4,0.4,0.0,1.7,0.8,3.9,
James Silas,28,SAS,PG,37,,8.4,1.2,2.6,.443,1.2,2.6,.443,.443,1.6,2.0,.822,0.1,0.5,0.6,1.0,0.3,0.0,0.8,0.8,3.9,
Joe Pace,24,WSB,C,49,,8.9,1.4,2.9,.479,1.4,2.9,.479,.479,1.2,1.9,.613,1.0,1.7,2.7,0.5,0.2,0.4,0.9,1.8,3.9,
T.R. Dunn,22,POR,SG,63,,12.2,1.6,3.8,.417,1.6,3.8,.417,.417,0.6,0.9,.661,1.0,1.3,2.3,0.7,0.7,0.1,0.6,1.2,3.8,
Rudy White,24,HOU,SG,21,,10.4,1.5,4.0,.365,1.5,4.0,.365,.365,0.7,0.9,.778,0.4,0.6,1.0,1.0,0.4,0.0,1.0,1.1,3.6,
Dennis Awtrey,29,PHO,C,81,,20.0,1.4,3.3,.424,1.4,3.3,.424,.424,0.9,1.3,.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6,
Dave Wohl,28,NJN,PG,10,,11.8,1.2,3.4,.353,1.2,3.4,.353,.353,1.1,1.2,.917,0.1,0.3,0.4,1.3,0.3,0.0,1.6,2.4,3.5,
Steve Green,24,IND,SF,44,,10.2,1.3,2.9,.438,1.3,2.9,.438,.438,0.9,1.3,.696,0.7,0.9,1.6,0.7,0.3,0.0,0.5,1.5,3.4,
Kevin Restani,26,2TM,PF,54,,10.1,1.3,3.1,.431,1.3,3.1,.431,.431,0.2,0.2,.692,0.7,1.3,2.0,0.6,0.1,0.1,0.3,0.8,2.8,
Kevin Restani,26,MIL,PF,8,,10.5,1.6,3.5,.464,1.6,3.5,.464,.464,0.0,0.3,.000,0.5,1.3,1.8,1.1,0.0,0.1,0.3,0.5,3.3,
Kevin Restani,26,KCK,PF,46,,10.1,1.3,3.0,.424,1.3,3.0,.424,.424,0.2,0.2,.818,0.7,1.3,2.0,0.5,0.1,0.1,0.3,0.8,2.8,
Scott Lloyd,25,2TM,C,70,,9.7,1.1,2.8,.415,1.1,2.8,.415,.415,0.7,1.0,.721,0.7,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.0,
Scott Lloyd,25,MIL,C,14,,8.0,0.9,2.4,.364,0.9,2.4,.364,.364,0.4,0.7,.600,0.5,1.4,1.9,0.6,0.2,0.4,0.5,1.6,2.1,
Scott Lloyd,25,BUF,C,56,,10.1,1.2,2.9,.425,1.2,2.9,.425,.425,0.8,1.0,.741,0.8,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.2,
Gus Bailey,26,NOJ,SG,48,,9.4,1.2,2.9,.424,1.2,2.9,.424,.424,0.8,1.4,.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2,
Harvey Catchings,26,PHI,C,61,2,12.3,1.1,2.9,.393,1.1,2.9,.393,.393,0.6,0.9,.618,1.7,2.4,4.1,0.6,0.3,1.1,0.7,2.0,2.9,
Robert Smith,22,DEN,PG,45,,8.4,1.1,2.2,.515,1.1,2.2,.515,.515,0.5,0.5,.875,0.1,0.7,0.8,0.9,0.4,0.1,0.4,1.2,2.7,
Eddie Owens,24,BUF,SF,8,,7.9,1.1,2.6,.429,1.1,2.6,.429,.429,0.4,0.8,.500,0.6,0.6,1.3,0.6,0.1,0.0,0.4,1.1,2.6,
Tom Boerwinkle,32,CHI,C,22,,10.3,1.0,2.3,.460,1.0,2.3,.460,.460,0.5,0.6,.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5,
Bobby Wilson,27,IND,SG,12,,7.2,1.2,3.0,.389,1.2,3.0,.389,.389,0.2,0.3,.667,0.5,0.5,1.0,0.7,0.2,0.1,0.5,1.3,2.5,
Brad Davis,22,LAL,PG,33,,10.1,0.9,2.2,.417,0.9,2.2,.417,.417,0.7,0.9,.759,0.1,0.9,1.1,2.5,0.5,0.1,1.1,1.2,2.5,
Dale Schlueter,32,POR,C,10,,10.9,0.8,1.9,.421,0.8,1.9,.421,.421,0.9,1.8,.500,0.5,1.6,2.1,1.8,0.3,0.2,1.5,2.0,2.5,
Scott Sims,22,SAS,PG,12,,7.9,0.8,2.2,.385,0.8,2.2,.385,.385,0.8,1.3,.667,0.4,0.7,1.1,1.7,0.3,0.0,1.6,1.3,2.5,
Mel Bennett,23,IND,PF,31,,9.2,0.7,2.6,.284,0.7,2.6,.284,.284,0.9,1.5,.622,1.6,1.4,3.0,0.7,0.4,0.2,1.0,1.7,2.4,
Rich Laurel,23,MIL,SG,10,,5.7,1.0,3.1,.323,1.0,3.1,.323,.323,0.4,0.4,1.000,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4,
Phil Jackson,32,NYK,PF,63,,10.4,0.9,1.8,.478,0.9,1.8,.478,.478,0.7,0.9,.768,0.5,1.3,1.7,0.7,0.5,0.2,0.7,1.7,2.4,
Claude Terry,28,ATL,SG,27,,6.1,0.9,2.5,.368,0.9,2.5,.368,.368,0.3,0.4,.818,0.1,0.4,0.6,0.3,0.2,0.0,0.3,0.5,2.2,
Robin Jones,23,HOU,C,12,,5.5,0.9,1.7,.550,0.9,1.7,.550,.550,0.3,0.8,.400,0.4,0.8,1.2,0.2,0.1,0.1,0.6,1.3,2.2,
Kim Hughes,25,NJN,C,56,,15.3,1.0,2.9,.356,1.0,2.9,.356,.356,0.2,0.5,.310,1.7,2.6,4.3,0.7,0.9,0.9,1.0,2.9,2.2,
Glenn Mosley,22,PHI,PF,6,,3.5,0.8,2.2,.385,0.8,2.2,.385,.385,0.5,1.2,.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2,
Cliff Pondexter,23,CHI,PF,44,,12.1,0.8,1.9,.435,0.8,1.9,.435,.435,0.3,0.5,.700,0.8,2.1,3.0,2.0,0.4,0.3,0.7,1.5,2.0,
Al Fleming,23,SEA,SF,20,,4.9,0.8,1.6,.484,0.8,1.6,.484,.484,0.5,0.9,.588,0.7,0.9,1.5,0.4,0.0,0.3,0.8,0.8,2.0,
Bob Bigelow,24,2TM,SF,5,,4.8,0.8,2.6,.308,0.8,2.6,.308,.308,0.0,0.0,,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6,
Bob Bigelow,24,KCK,SF,1,,7.0,1.0,1.0,1.000,1.0,1.0,1.000,1.000,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,
Bob Bigelow,24,BOS,SF,4,,4.3,0.8,3.0,.250,0.8,3.0,.250,.250,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5,
Larry Johnson,23,BUF,SG,4,,9.5,0.8,3.3,.231,0.8,3.3,.231,.231,0.0,0.5,.000,0.3,1.0,1.3,1.8,1.3,0.5,0.8,0.8,1.5,
George Karl,26,SAS,PG,4,,7.5,0.5,1.5,.333,0.5,1.5,.333,.333,0.5,0.5,1.000,0.0,1.3,1.3,1.3,0.3,0.0,1.0,1.5,1.5,
Jim Ard,29,2TM,C,15,,8.3,0.5,1.1,.471,0.5,1.1,.471,.471,0.2,0.3,.600,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3,
Jim Ard,29,BOS,C,1,,9.0,0.0,1.0,.000,0.0,1.0,.000,.000,1.0,2.0,.500,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,
Jim Ard,29,CHI,C,14,,8.3,0.6,1.1,.500,0.6,1.1,.500,.500,0.1,0.2,.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3,
Wayman Britt,25,DET,SG,7,,2.3,0.4,1.4,.300,0.4,1.4,.300,.300,0.4,0.6,.750,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.4,1.3,
Norm Cook,22,DEN,SF,2,,5.0,0.5,1.5,.333,0.5,1.5,.333,.333,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,2.0,1.0,
Ticky Burden,24,NYK,SG,2,,7.5,0.5,1.0,.500,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,
Larry Moffett,23,HOU,SF,20,,5.5,0.3,0.9,.294,0.3,0.9,.294,.294,0.3,0.5,.600,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8,
Steve Kuberski,30,BOS,PF,3,,4.7,0.3,1.3,.250,0.3,1.3,.250,.250,0.0,0.0,,0.3,1.7,2.0,0.0,0.3,0.0,0.7,0.7,0.7,
Phil Bond,23,HOU,SG,7,,3.0,0.3,0.9,.333,0.3,0.9,.333,.333,0.0,0.0,,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.1,0.6,
Willie Wise,30,SEA,SF,2,,5.0,0.0,1.5,.000,0.0,1.5,.000,.000,0.5,2.0,.250,1.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.5,
Glenn Hansen,25,2TM,SG,5,,2.6,0.0,1.4,.000,0.0,1.4,.000,.000,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.0,
Glenn Hansen,25,CHI,SG,2,,2.0,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,
Glenn Hansen,25,KCK,SG,3,,3.0,0.0,1.7,.000,0.0,1.7,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0,
Willie Smith,24,IND,PG,1,,7.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Dean Tolson,26,SEA,PF,1,,7.0,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,
Andre McCarter,24,KCK,PG,1,,9.0,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
League Average,,,,,,,,,.469,,,.469,.469,,,.752,,,,,,,,,,
